"3h, 2d",0.093
"7h, 2c",0.0937
"7h, 2s",0.095
"7h, 2d",0.096
"3c, 2d",0.0963
"7s, 2c",0.0979
"3s, 2h",0.0982
"7s, 2d",0.0986
"3s, 2c",0.0986
"7c, 2h",0.0989
"6h, 2d",0.0991
"8d, 2h",0.0991
"3s, 2d",0.0992
"6s, 2h",0.0993
"6s, 2c",0.0998
"3c, 2h",0.0998
"7s, 2h",0.1
"3h, 2c",0.1004
"6h, 2s",0.1006
"3d, 2c",0.1009
"7d, 2h",0.1009
"3d, 2h",0.1011
"6c, 2s",0.1013
"6s, 2d",0.1015
"3h, 2s",0.1015
"8d, 3c",0.1016
"7c, 2s",0.1018
"4h, 2d",0.1021
"7c, 2d",0.1021
"7d, 2s",0.1022
"7d, 2c",0.1026
"3c, 2s",0.1032
"8d, 2s",0.1032
"6h, 2c",0.1033
"8s, 2c",0.1037
"4d, 2h",0.1037
"6c, 2h",0.1037
"8s, 3h",0.1038
"8c, 2d",0.1039
"3d, 2s",0.1039
"8h, 2d",0.1043
"8s, 2d",0.1046
"6d, 2c",0.1046
"6c, 2d",0.1047
"8d, 3s",0.1047
"8s, 2h",0.1049
"4h, 2s",0.1049
"6d, 2s",0.1051
"6d, 2h",0.1052
"8c, 2s",0.1055
"4d, 2c",0.1058
"4d, 2s",0.106
"4s, 2c",0.1065
"8d, 2c",0.1068
"8h, 2c",0.1068
"4c, 2d",0.1073
"7h, 3c",0.1073
"5h, 2c",0.1074
"4s, 2h",0.1077
"5c, 2h",0.1078
"8s, 3d",0.1078
"9h, 2c",0.1081
"7s, 3c",0.1081
"7c, 3h",0.1083
"9h, 2d",0.1084
"9c, 2d",0.1087
"9h, 2s",0.1087
"4c, 2h",0.1088
"8h, 2s",0.1092
"9c, 2s",0.1093
"9c, 2h",0.1097
"5s, 2c",0.1098
"8c, 2h",0.1102
"8s, 3c",0.1102
"7c, 3s",0.1102
"8h, 3c",0.1106
"9h, 3s",0.1108
"9s, 2h",0.1109
"5h, 2d",0.111
"9d, 3h",0.111
"4s, 2d",0.1111
"8c, 3d",0.1112
"5c, 2d",0.1113
"8d, 3h",0.1113
"5d, 2c",0.1115
"9s, 3c",0.1116
"9d, 2s",0.1118
"8h, 3s",0.1119
"7h, 3d",0.1122
"9d, 2c",0.1123
"7s, 3d",0.1123
"9d, 2h",0.1127
"8c, 3h",0.1127
"4h, 2c",0.1128
"9c, 3h",0.1128
"4c, 2s",0.1134
"7d, 3h",0.1134
"8h, 3d",0.1143
"9d, 3c",0.1143
"5s, 2d",0.1144
"9s, 2c",0.1144
"5d, 2h",0.1144
"8c, 3s",0.1145
"7h, 3s",0.1147
"6d, 3c",0.1148
"7d, 3s",0.1148
"9s, 3d",0.1149
"7d, 3c",0.1149
"5h, 2s",0.1151
"9h, 4s",0.1152
"6h, 3s",0.1154
"5c, 2s",0.1156
"9d, 3s",0.1157
"4s, 3c",0.1158
"6d, 3h",0.1158
"7s, 3h",0.1158
"6h, 3c",0.1161
"5d, 2s",0.1163
"9h, 3c",0.1164
"9s, 2d",0.1165
"4d, 3s",0.1166
"7c, 3d",0.1169
"9s, 4d",0.1171
"8c, 4h",0.1173
"9c, 4d",0.1174
"6h, 3d",0.118
"8s, 4h",0.118
"9s, 3h",0.1182
"9h, 4c",0.1185
"9s, 4c",0.1187
"4c, 3s",0.1188
"td, 2s",0.119
"6c, 3s",0.119
"9d, 4c",0.119
"4s, 3d",0.1194
"6s, 3h",0.1195
"9h, 3d",0.1198
"th, 3d",0.1198
"6s, 3d",0.1199
"4d, 3h",0.12
"6c, 3d",0.1203
"ts, 3d",0.1203
"4s, 3h",0.1203
"9d, 4h",0.1203
"4c, 3d",0.1204
"4h, 3s",0.1204
"8d, 4c",0.1206
"5s, 2h",0.1207
"4d, 3c",0.1207
"td, 3h",0.1207
"td, 2h",0.1209
"ts, 2c",0.121
"6d, 3s",0.121
"9c, 3s",0.121
"6s, 3c",0.1212
"9s, 4h",0.1212
"8s, 4d",0.1213
"6c, 3h",0.1215
"9c, 4h",0.1215
"td, 2c",0.1216
"tc, 2h",0.1218
"4h, 3c",0.1218
"tc, 2d",0.1221
"8h, 4c",0.1223
"ts, 2h",0.1224
"th, 2c",0.1228
"9c, 4s",0.1228
"4h, 3d",0.1232
"th, 2s",0.1233
"ts, 2d",0.1236
"9c, 3d",0.1236
"9h, 4d",0.1237
"td, 3s",0.1238
"4c, 3h",0.124
"tc, 3s",0.124
"5h, 3c",0.1242
"8h, 4s",0.1242
"tc, 4d",0.1243
"tc, 2s",0.1248
"8d, 4h",0.1248
"th, 3s",0.1249
"8c, 4d",0.1251
"jd, 2c",0.1255
"9d, 4s",0.1255
"js, 2c",0.1257
"7d, 4h",0.1257
"7d, 4c",0.1259
"7h, 4s",0.1259
"8d, 4s",0.1259
"5c, 3h",0.126
"5d, 3s",0.1261
"tc, 3h",0.1262
"jh, 2s",0.1264
"7s, 4h",0.1264
"ts, 4h",0.1264
"5d, 3c",0.1265
"5s, 3d",0.1268
"ts, 3h",0.1268
"8h, 4d",0.1268
"7c, 4d",0.127
"th, 2d",0.1271
"8s, 4c",0.1273
"8c, 4s",0.1274
"ts, 4d",0.1277
"7h, 4c",0.1277
"td, 4c",0.1277
"7h, 4d",0.1278
"td, 4s",0.1282
"7s, 4c",0.1283
"7s, 4d",0.1284
"jc, 2h",0.1286
"jc, 3d",0.1286
"5h, 3d",0.1291
"7d, 4s",0.1291
"js, 2d",0.1292
"6d, 4h",0.1292
"tc, 3d",0.1294
"jd, 2s",0.1295
